Time,ANALOG.AN_T1_Temperature,ANALOG.AN_Ngp_SP,ANALOG.AN_Guide_Vane_Position,ANALOG.AN_Gen_kW_SP,ANALOG.AN_Lube_Oil_Header_Temp,ANALOG.AN_Lube_Oil_Header_Press,ANALOG.AN_Gen_Exc_V,ANALOG.AN_Guide_Vane_Force,ANALOG.AN_Gas_Fuel_Press,ANALOG.AN_Gen_AVR_SP,ANALOG.AN_SoloNox_T5_SP,ANALOG.AN_Gas_Fuel_Flow,ANALOG.AN_Main_Gas_Valve_Position
2022-09-01 9:50,19.9444,100.4277,87.4038,13016.3467,62.6667,268.2768,31.0801,440.7561,2583.3239,13704.9248,743.3333,2714.6215,58.3974
2022-09-01 10:00,19.6667,100.4194,87.3718,13009.1348,62.6667,267.3928,29.5352,413.6604,2603.4336,13704.9248,743.3333,2739.0461,58.0128
2022-09-01 10:10,20.5,100.48,87.3718,13016.3467,62.6667,269.1607,28.9727,363.0818,2522.9948,13704.9248,743.3333,2601.2215,59.0705
2022-09-01 10:20,21.4444,100.473,87.4038,13009.1348,62.6667,266.9508,29.5117,386.5648,2594.1525,13704.9248,743.3333,2702.4093,57.9167
2022-09-01 10:30,22.0556,100.506,87.4038,13016.3467,62.7222,267.8348,30.1602,417.2732,2581.7772,13704.9248,743.3333,2686.7076,58.0128
2022-09-01 10:40,23.2778,100.5766,87.4038,13009.1348,62.6667,267.3928,29.498,453.4007,2552.3859,13704.9248,743.3333,2587.2646,58.141
2022-09-01 10:50,23.8889,100.6219,87.3718,13009.1348,62.7778,266.0669,30.7969,413.6604,2485.8694,13704.9248,743.3333,2548.8832,59.0705
2022-09-01 11:00,23.8889,100.5983,87.3718,13009.1348,62.8889,266.0669,30.0508,417.2732,2476.588,13704.9248,743.3333,2548.8832,59.1667
2022-09-01 11:10,24,100.5591,87.3718,13016.3467,62.8889,267.8348,30.6133,442.5625,2603.4336,13704.9248,743.3333,2681.4739,57.1474
2022-09-01 11:20,24.2222,100.5992,87.3718,13009.1348,62.8889,266.0669,29.3145,408.2413,2580.2302,13704.9248,743.3333,2639.6032,57.4359
2022-09-01 11:30,24.5,100.6363,87.3718,13016.3467,62.8889,267.3928,30.1719,410.0477,2572.4957,13704.9248,743.3333,2611.6893,57.3718
2022-09-01 11:40,24.3889,100.6249,87.3718,13009.1348,62.9444,266.9508,30.002,413.6604,2553.9328,13704.9248,743.3333,2646.5815,57.8205
2022-09-01 11:50,24.3889,100.6266,87.3718,13016.3467,62.9444,267.8348,30.7617,401.0158,2569.4021,13704.9248,743.3333,2604.7107,57.3718
2022-09-01 12:00,24.7778,100.6666,87.3718,13016.3467,63,267.8348,29.1074,368.501,2498.2443,13704.9248,743.3333,2533.1815,58.3974
2022-09-01 12:10,24.6111,100.6454,87.3718,13009.1348,62.9444,268.7188,29.6465,435.3369,2532.2763,13704.9248,743.3333,2543.6493,58.0128
2022-09-01 12:20,25.1111,100.626,87.3718,13009.1348,62.8889,268.7188,30.5273,444.3688,2512.1666,13704.9248,743.3333,2583.7754,58.3333
2022-09-01 12:30,24.6667,100.6092,87.4038,13009.1348,62.9444,267.8348,28.8379,446.1752,2578.6831,13704.9248,743.3333,2660.5385,57.3397
2022-09-01 12:40,24.7778,100.6591,87.3397,13009.1348,63,268.2768,28.6172,438.9497,2496.6976,13704.9248,743.3333,2536.6707,58.5897
2022-09-01 12:50,24.8889,100.6067,87.3397,13009.1348,63,268.7188,29.8301,437.1433,2606.5275,13704.9248,743.3333,2667.5171,56.6346
2022-09-01 13:00,24.9444,100.6337,87.3718,13009.1348,63.0556,267.3928,30.627,381.1456,2504.4319,13704.9248,743.3333,2599.4768,58.5256
2022-09-01 13:10,25.2222,100.6681,87.3718,13009.1348,63,267.8348,29.0586,428.1114,2496.6976,13704.9248,743.3333,2531.4371,58.3974
2022-09-01 13:20,25.2778,100.6531,87.3718,13009.1348,63,268.7188,28.6055,464.239,2498.2443,13704.9248,743.3333,2578.5417,58.4936
2022-09-01 13:30,24.8333,100.6074,87.3718,13009.1348,63,266.9508,30.2578,415.4668,2608.0744,13704.9248,743.3333,2674.4954,56.859
2022-09-01 13:40,24.6667,100.6592,87.4038,13016.3467,63.0556,266.9508,28.9102,401.0158,2498.2443,13704.9248,743.3333,2541.9046,58.5256
2022-09-01 13:50,24.8333,100.625,87.3718,13009.1348,63,268.2768,30.4551,399.2094,2558.5735,13704.9248,743.3333,2587.2646,57.5321
2022-09-01 14:00,24.8889,100.6628,87.3718,13016.3467,63,265.183,29.0332,402.8221,2515.2605,13704.9248,743.3333,2608.2,58.3333
2022-09-01 14:10,25.2778,100.6735,87.3718,13009.1348,63.0556,267.3928,30.2344,460.6262,2479.6816,13704.9248,743.3333,2531.4371,58.8141
2022-09-01 14:20,25.2778,100.6422,87.3718,13009.1348,63,266.5089,29.8184,428.1114,2580.2302,13704.9248,743.3333,2623.9015,56.7308
2022-09-01 14:30,25.2778,100.6776,87.3718,13009.1348,63,266.9508,30.2715,359.4691,2473.4941,13704.9248,743.3333,2529.6922,58.9103
2022-09-01 14:40,25.0556,100.674,87.3397,13016.3467,63.0556,267.8348,29.8535,290.8267,2454.9312,13704.9248,743.3333,2536.6707,59.391
2022-09-01 14:50,25.0556,100.652,87.3718,13009.1348,63.0556,266.9508,29.0332,370.3074,2473.4941,13704.9248,743.3333,2534.9261,59.0064
2022-09-01 15:00,25.0556,100.6308,87.3718,13009.1348,63.0556,267.8348,28.875,345.0181,2464.2126,13704.9248,743.3333,2543.6493,59.391
2022-09-01 15:10,24.7222,100.6176,87.3718,13016.3467,63.0556,267.3928,30.1113,252.8928,2549.2924,13704.9248,743.3333,2587.2646,57.9487
2022-09-01 15:20,24.6667,100.6265,87.3718,13009.1348,63.0556,266.0669,29.8418,319.7288,2458.0251,13704.9248,743.3333,2555.8617,59.5513
2022-09-01 15:30,25.1111,100.6326,87.3718,13009.1348,63.1111,267.3928,29.6699,346.8244,2527.6356,13704.9248,743.3333,2606.4554,58.3333
2022-09-01 15:40,25.1667,100.6319,87.4038,13009.1348,63.0556,268.2768,29.8906,328.7607,2527.6356,13704.9248,743.3333,2555.8617,58.4295
2022-09-01 15:50,24.9444,100.6265,87.3718,13009.1348,63.1111,267.3928,31.4102,341.4053,2490.51,13704.9248,743.3333,2585.52,58.9423
